Date,OPEC,BRENT,WTI
2017-09-01,49.68,53.15,47.32
2017-09-04,50.36,52.6,
2017-09-05,50.99,53.63,48.63
2017-09-06,52.04,54.48,49.13
2017-09-07,52.48,54.16,49.1
2017-09-08,52.53,54.55,47.44
2017-09-11,51.82,54.2,48.06
2017-09-12,52.08,55.06,48.21
2017-09-13,52.92,55.52,49.3
2017-09-14,53.63,56.76,49.86
2017-09-15,53.64,56.18,49.9
2017-09-18,53.78,55.5,49.88
2017-09-19,53.81,56.58,49.54
2017-09-20,54.06,57.2,50.29
2017-09-21,54.59,57.73,50.58
2017-09-22,54.84,58.16,50.33
2017-09-25,55.62,59.42,51.85
2017-09-26,56.43,59.77,51.59
2017-09-27,56.07,58.74,52.14
2017-09-28,55.59,58.8,51.62
2017-09-29,55.2,57.02,51.67
2017-10-02,54.6,55.67,50.59
2017-10-03,54.28,56.12,50.44
2017-10-04,53.93,56.0,50.0
2017-10-05,54.62,57.09,50.79
2017-10-06,54.47,55.5,49.34
2017-10-09,53.7,55.29,49.58
2017-10-10,54.23,56.62,50.93
2017-10-11,54.54,56.13,51.3
2017-10-12,54.44,56.13,50.61
2017-10-13,55.12,56.86,51.43
2017-10-16,55.74,57.49,51.86
2017-10-17,55.83,57.63,51.87
2017-10-18,56.12,58.05,52.05
2017-10-19,55.52,57.82,51.29
2017-10-20,55.41,57.89,51.63
2017-10-23,55.77,57.69,51.91
2017-10-24,55.59,57.84,52.32
2017-10-25,56.33,58.45,51.97
2017-10-26,56.45,58.75,52.41
2017-10-27,57.55,60.15,53.92
2017-10-30,58.27,60.65,54.11
2017-10-31,58.53,61.35,54.36
2017-11-01,59.21,60.98,54.32
2017-11-02,58.45,60.79,54.55
2017-11-03,59.12,61.42,55.63
2017-11-06,61.02,64.27,57.34
2017-11-07,62.07,64.36,57.19
2017-11-08,61.61,63.96,56.82
2017-11-09,61.7,64.49,57.16
2017-11-10,61.91,64.35,56.75
2017-11-13,61.27,62.94,56.77
2017-11-14,60.52,60.91,55.67
2017-11-15,59.79,61.25,55.28
2017-11-16,59.98,61.18,55.14
2017-11-17,59.9,61.34,56.21
2017-11-20,60.33,61.34,56.21
2017-11-21,60.49,62.28,56.84
2017-11-22,61.09,62.92,57.88
2017-11-23,61.14,63.27,
2017-11-24,61.64,63.58,58.94
2017-11-27,61.51,63.25,58.1
2017-11-28,61.31,63.56,57.96
2017-11-29,61.14,63.74,57.25
2017-11-30,61.06,63.53,57.4
2017-12-01,61.71,64.57,58.35
2017-12-04,61.45,63.45,57.48
2017-12-05,60.87,63.45,57.66
2017-12-06,60.73,62.25,55.79
2017-12-07,60.12,62.37,56.5
2017-12-08,61.03,63.86,57.15
2017-12-11,61.94,65.62,57.84
2017-12-12,62.75,64.96,57.12
2017-12-13,61.5,63.66,56.59
2017-12-14,60.87,63.72,57.0
2017-12-15,61.48,63.81,57.29
2017-12-18,61.64,64.45,57.17
2017-12-19,61.72,63.69,57.49
2017-12-20,62.16,64.43,58.09
2017-12-21,62.66,64.64,58.34
2017-12-22,62.66,64.61,58.25
2017-12-26,63.07,64.61,59.55
2017-12-27,64.24,66.03,59.67
2017-12-28,64.17,66.8,59.84
2017-12-29,64.47,66.73,60.46
2018-01-02,64.84,66.65,60.37
