,strategic petroleum,inflation,oil sands,the oil supply,CAD/JPY,us oil,crude price,crack spread,price of crude,opec,brent,Middle East,Iraq,Gulf War,GDP,Australia,bureau of economic,terrorism,exchange rates,cost per gallon,BRENT_price
strategic petroleum,1.0,0.44434333413,0.230516064972,0.32143189116,0.177612404654,0.625312072357,0.13975033947,0.231493181626,0.248544241417,0.572104137463,0.45840725656,0.410520550802,0.550420320624,0.496206414544,0.262341006161,0.41294876685,0.531155346102,0.507968799377,0.429335776064,0.192863622352,0.0731599151945
inflation,0.44434333413,1.0,0.165593510242,0.46077432294,0.150546704667,0.551165841909,0.213419824154,0.374267070146,0.332850834273,0.800694926489,0.409913135411,0.496768574952,0.484966930945,0.645605369742,0.678511707435,0.196291783014,0.626460983795,0.581991202811,0.495906843129,0.109151101828,0.114598065562
oil sands,0.230516064972,0.165593510242,1.0,0.190691317802,0.371454817564,0.370506587916,0.0624443135137,0.292976509265,0.198008364702,0.135017963065,0.421079194282,0.250224534106,0.00193792540546,0.0621317812073,0.0140444095758,0.0579169284122,0.0955702856649,0.107221683813,0.0183634440751,0.318963087701,0.142015295116
the oil supply,0.32143189116,0.46077432294,0.190691317802,1.0,0.086370086031,0.431619320121,0.144909002622,0.202391958229,0.257050813249,0.279174834502,0.144790031762,0.161603718646,0.0157402745893,0.221818154634,0.237917048363,0.0520761774239,0.160846377627,0.219940716619,0.066644496812,0.380869996402,0.174442996123
CAD/JPY,0.177612404654,0.150546704667,0.371454817564,0.086370086031,1.0,0.0305358528491,0.110376261379,0.117561576261,0.154986678512,0.143895964065,0.00820250565185,0.0167794798023,0.255051018677,0.282061283397,0.315398636429,0.353979185772,0.243198884473,0.261977173152,0.345365183223,0.297390782477,0.235714673081
us oil,0.625312072357,0.551165841909,0.370506587916,0.431619320121,0.0305358528491,1.0,0.434322355113,0.457036812763,0.559880946333,0.520887476235,0.395823113913,0.227712847036,0.266393630322,0.315788404473,0.152700269928,0.0956575867608,0.28188785426,0.270342631675,0.250115306716,0.509011073658,0.276370448342
crude price,0.13975033947,0.213419824154,0.0624443135137,0.144909002622,0.110376261379,0.434322355113,1.0,0.261099958559,0.96220127934,0.201326357628,0.260512334681,0.187042117433,0.20426457241,0.259160810748,0.106180161101,0.368319213101,0.177308338465,0.227564014419,0.058128833317,0.400856566023,0.278193735382
crack spread,0.231493181626,0.374267070146,0.292976509265,0.202391958229,0.117561576261,0.457036812763,0.261099958559,1.0,0.401034803957,0.311115908884,0.205326346509,0.0459018673984,0.0166213286776,0.013719928599,0.0787278877983,0.191944344371,0.0618836553015,0.0273420836142,0.0697984620729,0.348293720285,0.304978045546
price of crude,0.248544241417,0.332850834273,0.198008364702,0.257050813249,0.154986678512,0.559880946333,0.96220127934,0.401034803957,1.0,0.312076919934,0.343895891809,0.0939597618792,0.134234929539,0.177879955762,0.0736344837408,0.370404868062,0.109025227447,0.155285162892,0.0296938095149,0.493162362179,0.326410816179
opec,0.572104137463,0.800694926489,0.135017963065,0.279174834502,0.143895964065,0.520887476235,0.201326357628,0.311115908884,0.312076919934,1.0,0.508698013746,0.587007584816,0.694886742687,0.750338269881,0.650398628541,0.336523591995,0.755241901379,0.719912355114,0.627038766944,0.0219524131825,0.366384216196
brent,0.45840725656,0.409913135411,0.421079194282,0.144790031762,0.00820250565185,0.395823113913,0.260512334681,0.205326346509,0.343895891809,0.508698013746,1.0,0.520171865777,0.39450728523,0.460093933399,0.328526156403,0.360814370711,0.579885049486,0.601642725886,0.565688696704,0.166592711664,0.379886101678
Middle East,0.410520550802,0.496768574952,0.250224534106,0.161603718646,0.0167794798023,0.227712847036,0.187042117433,0.0459018673984,0.0939597618792,0.587007584816,0.520171865777,1.0,0.643865128155,0.740419409517,0.566321678546,0.575201434271,0.767773944474,0.771798619068,0.657546335007,0.326126277985,0.493406140064
Iraq,0.550420320624,0.484966930945,0.00193792540546,0.0157402745893,0.255051018677,0.266393630322,0.20426457241,0.0166213286776,0.134234929539,0.694886742687,0.39450728523,0.643865128155,1.0,0.821696306391,0.554335156059,0.613148903033,0.791055459028,0.778424844652,0.644129211035,0.33621156663,0.498234928994
Gulf War,0.496206414544,0.645605369742,0.0621317812073,0.221818154634,0.282061283397,0.315788404473,0.259160810748,0.013719928599,0.177879955762,0.750338269881,0.460093933399,0.740419409517,0.821696306391,1.0,0.761548366065,0.733432312447,0.885503205243,0.903372224154,0.804961540498,0.320590209642,0.594999283848
GDP,0.262341006161,0.678511707435,0.0140444095758,0.237917048363,0.315398636429,0.152700269928,0.106180161101,0.0787278877983,0.0736344837408,0.650398628541,0.328526156403,0.566321678546,0.554335156059,0.761548366065,1.0,0.595866625872,0.738012196065,0.738097476526,0.655639657885,0.373786763772,0.61740420858
Australia,0.41294876685,0.196291783014,0.0579169284122,0.0520761774239,0.353979185772,0.0956575867608,0.368319213101,0.191944344371,0.370404868062,0.336523591995,0.360814370711,0.575201434271,0.613148903033,0.733432312447,0.595866625872,1.0,0.692126536849,0.753737768812,0.779687706839,0.476358771481,0.63275657272
bureau of economic,0.531155346102,0.626460983795,0.0955702856649,0.160846377627,0.243198884473,0.28188785426,0.177308338465,0.0618836553015,0.109025227447,0.755241901379,0.579885049486,0.767773944474,0.791055459028,0.885503205243,0.738012196065,0.692126536849,1.0,0.91316277108,0.789152591461,0.395439415745,0.634466472091
terrorism,0.507968799377,0.581991202811,0.107221683813,0.219940716619,0.261977173152,0.270342631675,0.227564014419,0.0273420836142,0.155285162892,0.719912355114,0.601642725886,0.771798619068,0.778424844652,0.903372224154,0.738097476526,0.753737768812,0.91316277108,1.0,0.810936593433,0.430915195769,0.653864326858
exchange rates,0.429335776064,0.495906843129,0.0183634440751,0.066644496812,0.345365183223,0.250115306716,0.058128833317,0.0697984620729,0.0296938095149,0.627038766944,0.565688696704,0.657546335007,0.644129211035,0.804961540498,0.655639657885,0.779687706839,0.789152591461,0.810936593433,1.0,0.458001145215,0.676503203567
cost per gallon,0.192863622352,0.109151101828,0.318963087701,0.380869996402,0.297390782477,0.509011073658,0.400856566023,0.348293720285,0.493162362179,0.0219524131825,0.166592711664,0.326126277985,0.33621156663,0.320590209642,0.373786763772,0.476358771481,0.395439415745,0.430915195769,0.458001145215,1.0,0.734395469615
BRENT_price,0.0731599151945,0.114598065562,0.142015295116,0.174442996123,0.235714673081,0.276370448342,0.278193735382,0.304978045546,0.326410816179,0.366384216196,0.379886101678,0.493406140064,0.498234928994,0.594999283848,0.61740420858,0.63275657272,0.634466472091,0.653864326858,0.676503203567,0.734395469615,1.0
